date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:19:29	43/43	---M--	200	added ('OK')	image/gif	etag:%222b-5ad5e463c71d4%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Images/blank.gif	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/Images/blank.gif	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
20:19:30	17611/17611	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Sep%202020%2023:19:27%20GMT	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/index.php?id=1&L=0	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/indexc01f.html	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
20:19:30	2769/2769	---M-Z	200	added ('OK')	application/javascript	etag:%22ad1-5ad5e463d8b14-gzip%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Dist/jquery.responsiveimages.min.js?1597995300	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Dist/jquery.responsiveimages.mind9dc.js	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
20:19:30	1113/1113	---M-Z	200	added ('OK')	application/javascript	etag:%22459-5ad5e463d8b14-gzip%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Dist/jquery.equalheight.min.js?1597995300	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Dist/jquery.equalheight.mind9dc.js	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
20:19:32	37608/37608	---M-Z	200	added ('OK')	application/javascript	etag:%2292e8-5ad5e463d8b14-gzip%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Libs/bootstrap.min.js?1597995300	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Libs/bootstrap.mind9dc.js	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
20:19:34	31903/31903	---M-Z	200	added ('OK')	application/javascript	etag:%227c9f-5ad5e463d8b14-gzip%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Libs/photoswipe.min.js?1597995300	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Libs/photoswipe.mind9dc.js	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
20:19:34	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:%221538f-5ad5e463d8b14-gzip%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Libs/jquery.min.js?1597995300	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Libs/jquery.mind9dc.js	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
20:19:35	9878/9878	---M-Z	200	added ('OK')	application/javascript	etag:%222696-5ad5e463d8b14-gzip%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Libs/photoswipe-ui-default.min.js?1597995300	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Libs/photoswipe-ui-default.mind9dc.js	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
20:19:35	335/335	---M-Z	200	added ('OK')	application/javascript	etag:%2214f-5ad5e463d8b14-gzip%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Dist/bootstrap.swipe.min.js?1597995300	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Dist/bootstrap.swipe.mind9dc.js	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
20:19:35	54/54	---M--	200	added ('OK')	application/javascript	etag:%2236-5ad5e463d7b74%22	http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Dist/bootstrap.popover.min.js?1597995300	C:/Users/JAVIER/Desktop/paginavalorant/bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/typo3conf/ext/bootstrap_package/Resources/Public/JavaScript/Dist/bootstrap.popover.mind9dc.js	(from http://bruselas.ceisufro.cl/sitios/jsilva23/proyecto1/)
